Datetime,Tweet Id,Text
2021-01-16 01:31:57,1350254430512361474,@DMC_Ryan @C_R_H_M @Tesla Cybertruck doesn’t need a garage
2021-01-16 01:29:50,1350253896267083776,@DMC_Ryan @Tesla It will be awesome
2021-01-16 01:28:33,1350253575344152583,@owenshift Good point
2021-01-16 01:20:44,1350251607737442310,@signalapp Your server-side code is doing too much
2021-01-15 22:07:36,1350203005971398659,@Wikipedia Happy birthday Wikipedia! So glad you exist.
2021-01-15 22:01:57,1350201582827302913,@TheOnion Guess you been watching Cobra Kai
2021-01-15 09:24:47,1350011037039415296,@SuperclusterHQ @w00ki33 Fallout New Texas
2021-01-15 08:23:28,1349995606387912704,@Breedlove22 @benmezrich Only Chuck Norris can divide by zero
2021-01-15 08:18:10,1349994270627926017,@Cerberu21014829 @Breedlove22 @benmezrich Good point
2021-01-15 07:12:06,1349977642708168704,"@Breedlove22 @benmezrich The thing we call money is just an information system for labor allocation. 

What actuall… https://t.co/JZ6zmQGBO3"
2021-01-15 06:44:22,1349970666477527042,"Monty Python is amazing
https://t.co/UJq94IWT88"
2021-01-15 06:06:26,1349961119054639105,@RationalEtienne @tobyliiiiiiiiii @Erdayastronaut They sure can twist the knife in that show!
2021-01-15 05:53:28,1349957857446391808,@tobyliiiiiiiiii @Erdayastronaut Probably wise
2021-01-15 05:47:34,1349956371127672834,@Erdayastronaut We’re making major improvements to ease of engine swap. Needs to be a few hours at most.
2021-01-15 05:41:21,1349954804999725056,"@PPathole @johnkrausphotos @SpaceX Two of the engines need slight repairs, so will be switched out"
2021-01-15 05:21:33,1349949822795706369,@johnkrausphotos @SpaceX Nice shot
2021-01-15 05:17:06,1349948702778134529,"@realOmarAbdalah We don’t have high school internships, but please apply when you’re in college!"
2021-01-14 20:40:40,1349818740725084161,"@skorusARK Prototypes are easy, volume production is hard, positive cash flow is  excruciating"
2021-01-14 05:03:35,1349582915496267776,@Tesla Physics
2021-01-14 03:51:19,1349564729417756672,"RT @SpaceX: Splashdown of Dragon confirmed, completing SpaceX’s 21st @Space_Station resupply mission and the first return of a cargo resupp…"
2021-01-13 22:07:08,1349478110027280386,@Erdayastronaut Detanking &amp; inspections now. Good progress towards our “Hop in &amp; go to Mars!” goal.
2021-01-13 21:47:02,1349473054699769859,All three static fires completed &amp; no RUDs!
2021-01-13 21:43:54,1349472264039915522,"@justpaulinelol @Erdayastronaut @SpaceX Wow, a lot has happened in 10 years!"
2021-01-13 21:25:02,1349467515030822913,@OfficialJlipper Fair enough haha
2021-01-13 21:20:05,1349466269121179653,https://t.co/ho7yGXAS3a
2021-01-13 20:53:57,1349459692515434502,@NASASpaceflight Sea shanty tiktok takes it to a new level with actual pirate ships
2021-01-13 20:47:34,1349458089020436481,@ConnectDotsToo Sure
